"ipc-rating-star--rating","ipc-rating-star--maxRating","ipc-title-link-wrapper href","ipc-title__text","ipc-html-content-inner-div","ipc-voting__label__text","ipc-voting__dot-separator","ipc-voting__label__count","ipc-voting__label__count 2","ipc-link","ipc-link href","ipc-inline-list__item","ipc-link href 2","ipc-btn__text"
"10","/10","https://www.imdb.com/title/tt1345836/review/rw2643758/?ref_=tturv_1","Stunning Conclusion to an Epic Trilogy","Not being a huge fan of superhero movies, I didn't have much expectations for Batman Begins. However viewing the 2005 Christopher Nolan production, I was pleasantly shocked. Then after my huge expectations for, ""The Dark Knight"", Christopher Nolan blew my expectations to the dust. Will the same happen with the 3rd and last film, ""The Dark Knight Rises""? Quite simply, Yes! My big expectations were once again, blown away. What a production! This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The editing, sound, score, visuals, direction and action are all top notch. The film contains a fine cast of talented actors. Christian Bale, of course still makes is a great Batman. Michael Cain is fantastic, as he always is. He gives such a powerful performance, he really ought to be considered for an Oscar nomination. Tom Hardy as Bane is utterly terrifying, at times, and completely ominous. Anne Hathaway as Catwoman/Selina Kyle is a scene stealer. She is completely engrossing. Everyone is so great, the dynamic scenes between the actors are so well done, so well written, and so well directed. The Dark Knight Rises is is emotionally riveting and amazing to view.At a running time of almost 3 hours, the film never becomes dull, which is pretty impressive. The movie's action sequences are spectacularly well created and very intense. The dialogue between the character's are intelligent and highly believable. The movie's soundtrack is terrific and really exemplify's many of the movie's scenes. Extremely well editing and sound use really develop many of the movie's action scenes, so it's not just explosions and visuals like in many other movies. Nolan creates a grand, dirty, engrossing world, and his action sequences just hum. In conclusion, this film is a gorgeous reminder that great writing and direction can enhance any movie-going experience, even superhero movies, which are usually thought of as mindless entertainment. I am wholly satisfied with Christopher Nolan's vision and thank all who worked on this film for bringing such an intricate interpretation of its very famous literary source. I cannot recommend this film anymore than I have, I just have to say everyone and anyone should see it. 10/10""","Helpful","•","2K","824","Joaquin_Collete","https://www.imdb.com/user/ur34960632/?ref_=tturv_usr_1_t","Jul 16, 2012","https://www.imdb.com/title/tt1345836/review/rw2643758/?ref_=tturv_perm_1",""
"10","/10","https://www.imdb.com/title/tt1345836/review/rw2644470/?ref_=tturv_2","Nolan has outdone himself... again.","Christopher Nolan has outdone himself with this one. At 3.30 in the morning, I was tired. Just getting out of it, I've never been so awake. Perhaps what set this film apart from his other films was that it had a genuine emotional heartbeat. I felt that this was a flaw of Nolan's other films - the vision of emotion was there, but it was hollow. In this I bought it. I felt it, hero and villain alike.Christian Bale was typically brilliant as Batman, and I felt that Bruce Wayne was more heavily embraced in this final installment. Bale added emotional depth to the character - a plot point that I think went astray in The Dark Knight - picking up from the development made in Batman Begins.Tom Hardy as Bane was quite simply, terrifying. No longer a dunderhead ""enforcer"", but one of the criminal masterminds behind ""Gotham's Reckoning"", coupled with a physical dominance strong enough to send shivers down your spine.Anne Hathaway as Selina Kyle defied my expectations. Hands up who was not entirely convinced that that girl from the Princess Diaries could handle an intensely physical role like Catwoman. But here I am, hugely impressed. She added immeasurably to the value of the film.Marion Cotillard fulfilled the role of Miranda Tate admirably, though I suspect this was the most underdeveloped character of the film - though after watching, I can see why.The unsung hero of The Dark Knight Rises is Michael Caine as Alfred. A heartfelt performance that helps drive the emotional content of the film, helping Nolan sell his most well-rounded film to date. Caine's performance in both presence and absence.Special mention goes to Joseph Gordon Levitt, who is consistently proving himself to be a big player in the Hollywood game. His role as officer Blake felt like there could've been more, but it may just have come all a bit much. It was a great performance, and Levitt sunk his teeth into role. If you can, go see this in IMAX. If any film was to sell the format to skeptics, The Dark Knight Rises would be IT. I'm happy Nolan stuck to his guns and shot in 2D. 3D would have been unnecessary. I suppose at this point, I have to turn my focus on Nolan. If he ever reads this... aspiring filmmaker to filmmaker, I've never been so envious, jealous in all my life. It's a film that leaves me floundering, wondering what I could possibly do to get anywhere near this ballpark. Well done. I think an Oscar Nomination is in order.From here, I'm not sure what to expect of the future. Does our imagination carry us forward, or do the studios? Time will tell.10/10","Helpful","•","1.4K","857","GregoryPryor","https://www.imdb.com/user/ur13293629/?ref_=tturv_usr_2_t","Jul 18, 2012","https://www.imdb.com/title/tt1345836/review/rw2644470/?ref_=tturv_perm_2",""
"1","/10","https://www.imdb.com/title/tt1345836/review/rw2649951/?ref_=tturv_3","Lazy, incoherent, and unsatisfying on nearly every level.","","Helpful","•","1.2K","1K","seniorlimpio","https://www.imdb.com/user/ur14925704/?ref_=tturv_usr_3_t","Jul 26, 2012","https://www.imdb.com/title/tt1345836/review/rw2649951/?ref_=tturv_perm_3","Spoiler"
"1","/10","https://www.imdb.com/title/tt1345836/review/rw2646408/?ref_=tturv_4","Awful plot. People in this movie are sheep without character","","Helpful","•","1.2K","970","srikiraju","https://www.imdb.com/user/ur27932579/?ref_=tturv_usr_4_t","Jul 21, 2012","https://www.imdb.com/title/tt1345836/review/rw2646408/?ref_=tturv_perm_4","Spoiler"
"10","/10","https://www.imdb.com/title/tt1345836/review/rw2643768/?ref_=tturv_5","Best Film of 2012, so far!","I had the honor of watching TDKR during a screening and was completely blown away! Christopher Nolan's third film in his Batman trilogy doesn't disappoint. The movie is incredibly well made, its huge production is quite breathtaking to view. This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The movie's score high-lites many of its incredible scenes, and at times, it takes your breath away.The film featured excellent performances, by all the cast. Christian Bale, as always is great as Batman. Anne Hathaway was completely engrossing, she became ""Catwoman"", just like Michele Pfeiffer did, although their interpretations were very different, both were equally effective. Tom Hardy was the main villain ""Bane"" completely shattered my expectations. One of the best superhero movie villains, I've ever seen. The terror caused by him, is completely believable and quite menacing. Marlion Cotilliard, Michael Cane, Gary Oldman, and others all did well in their respective roles. Now I know most will miss Heath Ledger as the Joker.(I know I do) I hope people don't compare Tom Hardy's performance to Heath Ledger's, its completely unfair and the two characters are very different. Just read the comics.The colossal size of the film is a spectacle to behold, but surprisingly you don't get lost with all the explosions and extravagant action scenes, like in other films,(AKA Transformers, or POTC.) If one were to gripe, and I suppose there will never be a film made that one cannot find a point at which to grip, it is painfully long running time here. I found myself more worried about the pain in my posterior than the emotional final minutes after almost 3 hours that I had spent in a cramped seat, but that's just how I am. However the ending is just fantastic, so emotional and bring the trilogy to a very satisfying end.Sorry if I'm being all fan-boyish and kissing this movie's behind, but I really admire it. It may not be among my personal favorites but generally this seems to be the movie event of this year. As a film though, this is amazing. A true lasting legacy in superhero story telling and summer-blockbusters.","Helpful","•","1.2K","848","Loving_Silence","https://www.imdb.com/user/ur23582121/?ref_=tturv_usr_5_t","Jul 16, 2012","https://www.imdb.com/title/tt1345836/review/rw2643768/?ref_=tturv_perm_5",""
"10","/10","https://www.imdb.com/title/tt1345836/review/rw2644632/?ref_=tturv_6","It was okay...","The best thing about this movie is how satisfying it is. It doesn't leave you frustrated or confused. You can't really complain that it didn't explore certain ideas or follow through. By deciding to have an official ending to this trilogy's story, the themes surrounding Batman are very fresh. We don't know where he'll end up. It's not the same old thing about whether he can continue to be Batman or not, which was already getting repetitive in Spider-man 2. The conclusions are not as important as the feelings they invoke as they come about. Nolan is especially good at capturing the complete tension of actually not knowing what will happen and deeply questioning what you *want* to happen and why.This movie is bigger than the previous two, far more ambitious. There are no obvious annoying weaknesses that usually come with films in general, especially blockbuster action movies. All of Nolan's movies have deep psychological themes and this takes those in another new direction. I thought Inception was hugely original and insightful about the way people think. That level of abstraction and depth is present in this film. Bane bursts into it, his reputation is quickly established. Nolan uses people's expectations and anticipation to the fullest. We are left to wonder about what has happened in the 8 years since the events of The Dark Knight. Why have the characters become the way they are now?In the latter half, it does seem like the movie is trying to pull off so many different plot points and connections, but they all work. The cast is very large and impressive. You don't see ""good acting"". You see fascinating characters. They're just playing their part in the grand story that's being crafted. There are many unfamiliar faces but they all have a strange, unique look to them. We often see a person's flaws and previous decisions coming back to haunt them. They find out the hard way what mistakes they have made. Where their limits are. Where they lose control.The score is almost tribal, very raw and energetic. You don't get much chance to pay attention to it but many parts of the movie are pounding with excitement. There are countless quotable lines and disturbing slices of dialogue. They cut deep. The Joker was a great character and this is a very different movie but the themes are just as dark, only perhaps indirectly. Underneath, it's very sinister. Writing and efficiency appear to be among Nolan's greatest strengths. The story has many layers that interweave and apparently they came in under budget.Perhaps the most important thing about Catwoman is that she's completely believable. When she beats up men, you don't roll your eyes. She's feminine and powerful in her own way. She fits into the world and we completely understand her motivations. She doesn't have a huge role but a very important one.I didn't find myself moved but maybe I'm too cynical. I was more affected psychologically. Curious about humanity and all the different sides of it you see in this movie. It goes to many extremes. I felt humbled by my complete lack of life experience. What do I know about anything? How could I possibly understand half of the characters? I haven't been through anything or achieved anything compared to most of them. Michael Caine gets a bigger role this time. He was always critical but this time he's very much the emotional core.I thought Christian Bale was overlooked in The Dark Knight especially. The movies hinge on him. Bruce Wayne's just a man but also incredibly inspirational. Bale's famous for completely committing to his roles and it pays off. Tom Hardy is impressive as Bane but I suppose that's no surprise. The rest of the leads are similarly awesome. There are many references to the earlier films. Very few questions are left unanswered. It's always nice when film-makers really think it through and make an actual decision and get all the details right.So anyway, I'll miss Batman (since the trilogy has ended) but couldn't have hoped for a better, more epic and sincere finale to his story.","Helpful","•","825","635","Christopher_Reid","https://www.imdb.com/user/ur13995491/?ref_=tturv_usr_6_t","Jul 18, 2012","https://www.imdb.com/title/tt1345836/review/rw2644632/?ref_=tturv_perm_6",""
"6","/10","https://www.imdb.com/title/tt1345836/review/rw2645458/?ref_=tturv_7","Dark Knight Rises - falls short of greatness","I came out with slight disappointment after watching DKR for I had huge expectations from Nolan after an exceptional TDK.I am huge fan of first two installment of Batman Trilogy. I liked DKR, it's a good movie, but it could have been much better.So rather than discussing its merit, which are many, I am pointing out its shortcomings.It's the weaker than other movies of trilogy and simple reason being it lacks strong characters. DKR is all about storytelling, just like Nolan's Inception, but not as efficient. And in doing so, it fails where Batman Begins and The Dark Knight had succeeded.Batman Begins was all about fear, doubt, self-realization and redemption where Bruce Wayne discovers his destiny as Batman. BB had a story arc which set background for main characters - Batman / Wayne, Ra's al Ghul, Gordon (to some extent) and most importantly Gothom City and hence set stage for a fitting climax.The Dark Knight explores the theme of chaos, morality and belief effortlessly and establishes characters of Joker, Harvey Dent/Two Face, Rachel etc. So effortlessly that people choose to ignore even some major plot holes. Heath Ledger's interpretation of Joker was so mesmerizing that it single handily carried TDK to path of greatness/ critical acclaim.But Dark Knight Rises is all about story telling - efficient but not exceptional. Bane, Miranda Tate, John Blake, Peter Folly (Deputy Commissioner), Selina Kyle - characters are introduced but never explored/ expanded - they just start working on their part - just like cogs in the wheel. They are not so much part of the story itself but just the agents which move the story forward.Bane's character is dull and single dimensional and do not evoke any fear or awe. He's meticulous, intelligent and strong and this is established quickly in movie but after that he slumps into a just another movie villain. Taila / Miranda character is never fully explored. Even Wayne/Batman is devoid of any emotions in this one and he feels so sure of himself that I start wondering if it's the same Batman that I saw in first two installments. Only new character which had some shades was that of Selina Kyle and Anne Hathaway did justice to it. Add to that helplessness of Alfred portrayed superbly by Caine. Other actors are good but there's not much for them to do.There's no dilemma, choices, moral battles, hope, chaos or fear - things that make characters and plot interesting and which made Batman Begins and The Dark Knight really good movies. Even the theme of ""Occupy WallStreet"" is very weak and, at best, is closer to London riots with its looting and arson. There's even perfect order in Bane's revolution. Movie moves effortlessly from one plot to another and to climax that it become at times predictable.But maybe Dark Knight Rises was supposed to be like that only and Nolan had too much to deal with in 2.5 hours. And maybe that's the main problem with DKR - too much is going on in the story that it seems crammed at times. And when there are too many characters and so many story arcs, it's tough to do justice to characters and story telling at the same time.Dark Knight Rises have a good story but lacks strong characters and relies on Inception's style which incidentally differs from style of first two installments of Batman Trilogy.And for me, soul of Nolan's Batman Series is its strong characters, their underlying emotions and a theme which is much deeper and meaningful than all fight, gadgetry and style. And this is where DKR fails.6/10.","Helpful","•","576","393","amrndr_","https://www.imdb.com/user/ur35159054/?ref_=tturv_usr_7_t","Jul 20, 2012","https://www.imdb.com/title/tt1345836/review/rw2645458/?ref_=tturv_perm_7",""
"1","/10","https://www.imdb.com/title/tt1345836/review/rw2646767/?ref_=tturv_8","True Batman Fan's Worst Nightmare","","Helpful","•","468","371","dolemite1992","https://www.imdb.com/user/ur35205589/?ref_=tturv_usr_8_t","Jul 21, 2012","https://www.imdb.com/title/tt1345836/review/rw2646767/?ref_=tturv_perm_8","Spoiler"
"8","/10","https://www.imdb.com/title/tt1345836/review/rw2643765/?ref_=tturv_9","The Dark Knight Rises one last time to save Gotham City...","","Helpful","•","371","329","buckeema","https://www.imdb.com/user/ur4122069/?ref_=tturv_usr_9_t","Jul 16, 2012","https://www.imdb.com/title/tt1345836/review/rw2643765/?ref_=tturv_perm_9","Spoiler"
"2","/10","https://www.imdb.com/title/tt1345836/review/rw2649954/?ref_=tturv_10","The Dark Knight Rises review which is tedious and overstretched and over-hyped and chaotic, matching the style of the movie","","Helpful","•","347","260","renemioch","https://www.imdb.com/user/ur26411340/?ref_=tturv_usr_10_t","Jul 26, 2012","https://www.imdb.com/title/tt1345836/review/rw2649954/?ref_=tturv_perm_10","Spoiler"
