"ipc-rating-star--rating","ipc-rating-star--maxRating","ipc-title-link-wrapper href","ipc-title__text","ipc-html-content-inner-div","ipc-voting__label__text","ipc-voting__dot-separator","ipc-voting__label__count","ipc-voting__label__count 2","ipc-link","ipc-link href","ipc-inline-list__item","ipc-link href 2","ipc-btn__text"
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1908115/?ref_=tturv_1","Film surpasses the hype","We've been subjected to enormous amounts of hype and marketing for the Dark Knight. We've seen Joker scavenger hunts and one of the largest viral campaigns in advertising history and it culminates with the actual release of the movie.Everything that's been said is pretty much spot on. This is the first time I can remember where a summer blockbuster film far surpasses the hype.For as much action as there is in this movie, it's the acting that makes it a great piece of work. Between all the punches, explosions and stunt-work is some great dialog work. All the actors have their moments.Bale's Batman is the definitive Batman because we see everything in this character finally on film. Martial arts skills, cunning, great tactical thinking, forensic application, technological genius to advance or improve Luscious Fox's inventions/technological breakthroughs, intimidating personality, and even a little swashbuckling. As for Heath, yes he gets credit for his performance as the Joker. But you have to also recognize Jonathan and Chris Nolan for the writing and treatment of the character. It's not just the fact that Ledger makes the Joker so menacing, but the Nolans have given the character this great manifesto that drives its actions. The Joker's stance on chaos, order, anarchy, the morality of the average modern human being make the character so interesting psychologically. The Nolans drafted a complex character and only a perfect performance could've pulled something like this off. That's how difficult of a role this was, and that's why Ledger's performance is so great.This isn't an action movie. It's a film that explores literary themes of the hero and villain, as well as order and anarchy. Yes, listen to the dialog because it's all in there.","Helpful","•","3.9K","1K","straightblaster","https://www.imdb.com/user/ur3789453/?ref_=tturv_usr_1_t","Jul 9, 2008","https://www.imdb.com/title/tt0468569/review/rw1908115/?ref_=tturv_perm_1",""
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1906861/?ref_=tturv_2","Surpasses ""Begins"" in every aspect!!!","Christopher Nolan's second bundle of joy ""The Dark Knight"" EXCEEDED all  of my expectations!!! With the success of 2005's reboot of the Batman  franchise, they took what was already established and expanded it,  amped it up, and gave a deeper, darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout. Christian Bale delves more deeper into Batman, sworn to  fight evil and injustice, though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents. But with the  help of his trusted butler/ally Alfred (played superbly by Michael  Cane) grounds him, gives him moral support, and keeps him in check. But  the real star of the show is Heath Ledger as Batman's most deadly  enemy, The Joker. I can HONESTLY tell you that: as good as Jack  Nicholson was in Batman'89 he is CHILD'S PLAY compared to this Joker.  He is sadistic, psychotic, and downright SCARIER and PSYCHOLOGICALLY  disturbing than the previous incarnation of The Clown Prince of Crime  and Ledger gives it his all to do him justice. Along with the original  cast comes some fresh faces such as Aaron Eckhart, Maggie Gyllenhaal  and more. I must say though I liked Katie Holmes, Gyllenhaal gives a  much better performance and is a far cry from the ""damsel-in-distress""  stereotype (though there's a little of it, THANKFULLY) that's common in  films. Bale and Gyllenhall have MUCH better chemistry this time around  more so than Holmes. Even better, the fight sequences are vastly  improved and feature more brutal and bone crushing combat than ""Begins""  in addition to new technology at Batman's disposal.  Also worth mentioning is screenwriter Jonathan Nolan, who gives the  film an added frosting to an already delicious cake.  Simply put, The Dark Knight is totally more bad ass than ""Begins."" The  action is great, and the plot is more deeper and engrossing. I applaud  Christopher Nolan, Christian Bale, and especially Heath Ledger (who  sadly passed away earlier this year) and all those aboard for believing  in Mr. Nolan's talents for this second installment. Although some may  feel a bit of melancholy over Ledger's death, but as a final note I  will say this sincerely from my heart: Remember Heath Ledger and honor  him in your minds and hearts not only for his performances, but as a  human being and father to his daughter Matilda  Ledger. May we issue him best wishes for his family and friends and his  daughter for years to come. Remember . . . Honor him not only for this  role and past roles, but as an incredible individual and talented  actor.  Rest in peace. Heath Ledger: 4/4/1979-1/22/2008.","Helpful","•","2.4K","1K","johnnymacbest","https://www.imdb.com/user/ur12680645/?ref_=tturv_usr_2_t","Jul 7, 2008","https://www.imdb.com/title/tt0468569/review/rw1906861/?ref_=tturv_perm_2",""
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1906866/?ref_=tturv_3","Best movie of 2008 hands down!","I had the honor of watching TDK during a screening and was completely blown away! This isn't just the best Batman movie ever made, this is one of the best movie ever made. Everything in this film is excellent, not one piece of annoyance.Bale marvels as Bruce Wayne/Batman, Ledger has made The Joker in to an iconic movie villain. His performance belongs there at the top with Hopkins Lecter. The Joker has finally been portrait properly on film, he has earned his place between the big boys in movie villandom. This is the true Joker every Batman fan knows, loves and fears. Ledger deserves any and every movie award known to man for this brilliant display.Nolan has made his ""I will always be remembered"" movie, this is the crownjewel in his portfolio. Perfect directing, perfect story, perfect balance between action and drama, everything is perfect. Even if you hate Batman, you will love this film. If you don't, then something beez wrongz with youz!","Helpful","•","2K","1K","manuel_de_dios","https://www.imdb.com/user/ur19572672/?ref_=tturv_usr_3_t","Jul 7, 2008","https://www.imdb.com/title/tt0468569/review/rw1906866/?ref_=tturv_perm_3",""
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1911634/?ref_=tturv_4","The sequel we deserved to the Batman we wanted","I used to leave a theatre after seeing a highly anticipated movie, specifically a sequel, and be so revved up about what I saw that I would declare that movie to be the best of a series. After each of the prequel ""Star Wars"" films, I rated that one the best, as good as any of the originals...for a time, until my opinion balanced out and I had a more well-rounded take. For that reason, I steer away from that mindset, and did for ""Dark Knight"".Though my opinion is solidifying already after having seen a Warner Bros. screening last night, ""Dark Knight"" ably stands on its own with or without ""Batman Begins"". At a two and a half hour runtime, it's definitely an epic of a movie, but one that never runs out of gas. A delightful addition to this experience was a healthy amount of IMAX footage, which significantly adds to the feel of being on a personal, and gruesome, tour of Gotham City.Christian Bale plays such a well rounded Batman and Bruce Wayne, qualities that none of those who have donned the cowl before him have pulled off. I still have to remember that Bale is British since he speaks with such a spot on American accent. Bale has a particular slurring lisp that serves him quite well, charmingly for Bruce Wayne and threateningly for Batman.Countering him is the late Heath Ledger, who plays such a scary and creepy Joker that I found it impossible to NOT have chills half the time I saw him on screen. What really separates this brand of Joker from Jack Nicholson's portrayal is true unpredictability. It's obvious that, to be a good guy and think like the Joker, it really takes a toll, and it sure isn't easy. How exactly does one take him down when he's woven his harebrained plot around multiple hostages, explosives, or disappearing parlor tricks?Initially, I was uneasy about how the character of Harvey Dent would be handled. In my mind, there was really only one faithful portrayal of him, and that could be found in the ""Batman"" animated series of the early 90s. As well as Tommy Lee Jones COULD have handled him in ""Batman Forever"", he certainly did not, though it still was a highlight of that movie. Aaron Eckhart ably assumes the mantle here, delivering a performance out of this world, easily on par with the Batman animated series.Be it known, this caped avenger stands for the good of Gotham City that the police force and its counterparts can't represent, the good that has no jurisdiction, no procedures...and no rules, save for one. I can only hope that we've seen just the prelude to the Dark Knight's upcoming legendary battles with the worst of Gotham City's dark underside.""The Dark Knight"" gets a solid 10 of 10 stars.","Helpful","•","1.3K","602","guerillagorilla","https://www.imdb.com/user/ur2862626/?ref_=tturv_usr_4_t","Jul 16, 2008","https://www.imdb.com/title/tt0468569/review/rw1911634/?ref_=tturv_perm_4",""
"8","/10","https://www.imdb.com/title/tt0468569/review/rw1910488/?ref_=tturv_5","The Dark Knight ---- Best Batman Movie Ever.","","Helpful","•","1K","803","big_poppa_hnoudis","https://www.imdb.com/user/ur2935472/?ref_=tturv_usr_5_t","Jul 14, 2008","https://www.imdb.com/title/tt0468569/review/rw1910488/?ref_=tturv_perm_5","Spoiler"
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1911625/?ref_=tturv_6","Certainly Dark - Worth The Wait","","Helpful","•","1.2K","554","Mush_Man29","https://www.imdb.com/user/ur13846894/?ref_=tturv_usr_6_t","Jul 16, 2008","https://www.imdb.com/title/tt0468569/review/rw1911625/?ref_=tturv_perm_6","Spoiler"
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1910485/?ref_=tturv_7","Batman at his best and beyond","","Helpful","•","1K","588","springsunnywinter","https://www.imdb.com/user/ur10583368/?ref_=tturv_usr_7_t","Jul 14, 2008","https://www.imdb.com/title/tt0468569/review/rw1910485/?ref_=tturv_perm_7","Spoiler"
"1","/10","https://www.imdb.com/title/tt0468569/review/rw1926059/?ref_=tturv_8","very weak, unfortunately","","Helpful","•","529","1K","valkyria4","https://www.imdb.com/user/ur9215518/?ref_=tturv_usr_8_t","Aug 7, 2008","https://www.imdb.com/title/tt0468569/review/rw1926059/?ref_=tturv_perm_8","Spoiler"
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1911671/?ref_=tturv_9","Best. Comic. Movie. EVER.","","Helpful","•","941","460","LennyRenquist","https://www.imdb.com/user/ur2371300/?ref_=tturv_usr_9_t","Jul 16, 2008","https://www.imdb.com/title/tt0468569/review/rw1911671/?ref_=tturv_perm_9","Spoiler"
"10","/10","https://www.imdb.com/title/tt0468569/review/rw1912337/?ref_=tturv_10","The dark and sinister mood of the film really sets the theme of the movie","","Helpful","•","819","470","the-movie-guy","https://www.imdb.com/user/ur2747265/?ref_=tturv_usr_10_t","Jul 17, 2008","https://www.imdb.com/title/tt0468569/review/rw1912337/?ref_=tturv_perm_10","Spoiler"
