"ipc-rating-star--rating","ipc-rating-star--maxRating","ipc-title-link-wrapper href","ipc-title__text","ipc-btn__text","ipc-voting__label__text","ipc-voting__dot-separator","ipc-voting__label__count","ipc-voting__label__count 2","ipc-link","ipc-link href","ipc-inline-list__item","ipc-link href 2","ipc-html-content-inner-div"
"10","/10","https://www.imdb.com/title/tt0167260/review/rw0583297/?ref_=tturv_1","Unprecedented.","Spoiler","Helpful","•","1.3K","206","GuyCC","https://www.imdb.com/user/ur0357354/?ref_=tturv_usr_1_t","Dec 17, 2003","https://www.imdb.com/title/tt0167260/review/rw0583297/?ref_=tturv_perm_1",""
"","","https://www.imdb.com/title/tt0167260/review/rw0582234/?ref_=tturv_2","Not only the best of the ""Lord of the Rings"" series, but sets a new standard of epic filmmaking.","","Helpful","•","910","176","danlongino","https://www.imdb.com/user/ur1931776/?ref_=tturv_usr_2_t","Dec 16, 2003","https://www.imdb.com/title/tt0167260/review/rw0582234/?ref_=tturv_perm_2","Saying that this film starts where `Two Towers' left off is somewhat misleading, for the film starts a great distance from the walls of Helm's Deep. `Return of the King' opens with a flashback of Smeagol (Andy Serkis) obtaining the one ring of power and an origin of his deterioration into the creature Gollum. This opening recaptures an emphasis that was somewhat lost within the epic battles of `Two Towers,' at that's the ring. The first installment, `The Fellowship of the Ring,' provided heaps of exposition on the ring's importance and influence, and in `Return of the King,' we see it pay off, big time.After the armies of Isengard have been defeated due to an allegiance between Theoden (Bernard Hill), the king of Rohan, and the elves, the main threat to middle earth is now concentrated in the kingdom of Mordor, controlled by the dark lord Sauron. Sauron has turned his eye towards the realm of Gondor, the last free kingdom of men, and the wizard Gandalf (Ian McKellan) must warn Denethor (John Noble), Steward of Gondor of the impending attack, while Aragorn (Viggo Mortenson), heir to the throne of Gondor, and Theoden gather men to aid against the armies of Mordor. The dark lord Sauron needs only to regain the one ring of power to conquer all of middle earth, and two hobbits, Frodo (Elijah Wood) the ring-bearer and Sam (Sean Astin), must continue their journey, directed by Gollum, to Mount Doom, the only place where the ring can be destroyed. Got all that? If not, you need to bone up on your `Lord of the Rings' before expecting to follow this film.Since all three epics were filmed simultaneously, each individually has the feel of being part of a larger picture - except for this one. `The Return of the King' is just too big, the most epic of a set of epic films. Now that director Peter Jackson has brilliantly constructed the characters and plotlines throughout the first two films, he puts them to use.All of the characters have their best moments within this film. The pair of mischievous hobbits, Merry (Dominic Monaghan) and Pippin (Billy Boyd), are no longer the tree ornaments they were from `Two Towers,' but are split-up, and take their characters in completely new directions. Aragorn, played with an unmatched sense of honor by Viggo Mortenson, is about to meet his destiny as the future king of all men, while Andy Serkis continues his expert portrayal of Gollum (Serkis' provided not only the voice of Gollum, but also assisted during production by acting out the scenes of the computer-generated character with his fellow actors).However, the real acting triumph of the film is Elijah Wood as Frodo Baggins. He continues his descent into corruption with an incredible talent that many could not pull off. Wood's performance is so critical to the film because it determines the ring's power to corrupt, which, needless to say, is absolute.The first two films established Jackson as an incredible visionary, shooting vast landscapes from his native New Zealand. With `Return of the King,' Jackson really gets a chance to show off. With, hands down, the most beautiful visuals of the trilogy, Jackson makes `Return of the King' a gorgeous feast for the eyes, while never resorting to McG level over-the-topness. Jackson stays very grounded in his characters, not letting the effects tell the story, but only assist the wonderful dialogue and characters. Think of `Return' as a mix of `Fellowship' and `Two Towers,' with enough action and character development worthy of ending a film event of this magnitude.The bottom line, fans of the films will not be disappointed. Hardcore Tolkien lovers might be upset by plot changes and interpretations made by Jackson and the other writers, however, it is unrealistic to expect a completely true adaptation of the novels, being that film is an entirely different medium. Despite the alterations, Jackson consistently stays true to the major themes and ideas from the original text, while adding some of the finest filmmaking ever put to screen. `The Lord of the Rings: The Return of the King' is one of the most finely tuned and cinematically perfect films ever made. Not only the best of the trilogy, but a crowning achievement in epic filmmaking."
"10","/10","https://www.imdb.com/title/tt0167260/review/rw0584119/?ref_=tturv_3","The first great cinematic masterpiece of the twenty-first century.","Spoiler","Helpful","•","678","168","JamesHitchcock","https://www.imdb.com/user/ur2955724/?ref_=tturv_usr_3_t","Feb 4, 2004","https://www.imdb.com/title/tt0167260/review/rw0584119/?ref_=tturv_perm_3",""
"10","/10","https://www.imdb.com/title/tt0167260/review/rw1040738/?ref_=tturv_4","They saved the best for last","","Helpful","•","718","110","Derek237","https://www.imdb.com/user/ur1142410/?ref_=tturv_usr_4_t","Mar 16, 2005","https://www.imdb.com/title/tt0167260/review/rw1040738/?ref_=tturv_perm_4","Obviously, I'm aware of the fact that the Lord of the Rings trilogy is actually one giant movie, but since it was released in parts, that's how I'm judging them. The Return Of The King is the final chapter, and since it is the climax and resolution of the epic journey, it has a little more intensity and urgency than the previous installments.At this point everyone has come to know and love all of the characters, and the stakes have become tremendously high. Kingdoms are at their knees, and the only two characters who can save the day are getting weaker and weaker. The tension was very high in this episode and I can honestly say that out of all 3 this was the only one that had me on the edge of my seat. There were many memorable scenes (one of my favourites including the part with the giant spider)that made this the classic that it is sure to stay for decades to come.This is the longest of the series, mostly because of the ending that seems to last a while. This was a good ending, and I can see why Frodo did what he did. He, and us the audience, have gone through an incredible ordeal and I think we needed that 20 minute linger. When the battle is over, and the celebrations have ended, there is a sad emptiness felt. The films spanned over 3 years, there have been the extended cuts of course, but after that, it's all over. Peter Jackson gave us an ending that was both appropriate and admirable.These were some amazing movies and this one in particular is the best, in my opinion. As whole, the Lord Of The Rings is a phenomenon. An absolute phenomenon. Much more than just movies. They have a universal appeal and have touched the hearts and imaginations of millions. I'm one of them.Sorry if I'm being all fanboyish and kissing this movie's ass, but I really admire it. It may not be among my personal favourites but generally this seems to be the movie event of the century. There will never be another Lord of the Rings film, and that's a bit depressing.My rating: 10/10"
"10","/10","https://www.imdb.com/title/tt0167260/review/rw0582267/?ref_=tturv_5","A Brilliant Conclusion","","Helpful","•","622","145","eiratan","https://www.imdb.com/user/ur2919262/?ref_=tturv_usr_5_t","Dec 17, 2003","https://www.imdb.com/title/tt0167260/review/rw0582267/?ref_=tturv_perm_5","As a movie watcher, I tend to become bored with the constant, overdone, overdrawn, underplayed, overdramatized performance and production quality of most Hollywood films. It's a trait that in recent years has sadly driven me away from most big budget American films. A decent idea will become mangled by the money making machine that is Hollywood, hoping to pump the most raw cash they can out of it before it drops dead in the street.We all saw the catastophre of a failure that arose from the Matrix Franchise. Such immense hype and professed genius only made the failure all the more poignant for those of us that really wanted and expected more from the franchise.That all being said, I must say that The Lord of the Rings is an amazingly powerful visual experience. Not even just a visual experience. Peter Jackson has crafted one of the finest written pieces of our era into THE quintessential epic. He supplements the brilliant storytelling of JRR Tolkien with one of the most awe-inspiring collection of films ever created.The 7 hours of film that leads up to the Return of the King is only precursor though, when you sit and watch this film. It's just plain brilliance. Everything about the film is wonderful. The manner in which Jackson has arranged the scenes, detracting slightly from the original flow of the novel really helps to keep the suspense strong in all three story branches. The Tolkien humor is intact perfectly and the gallantry and just plain coolness of these heroes is plain amazing. (Check out Legolas in the BIG battle) It's all just too much for words.If one were to gripe, and I suppose there will never be a film made that one cannot find a point at which to grip, it is painfully long running time here. I personally believe that this is the only way such a film could be made, true to the source material and completely engrossing, but I found myself more worried about the pain in my posterior than the emotional final minutes after 4 hours (including ads and previews) that I had spent in a cramped seat. As such, this will be all the better (at least for me) when it's release on DVD (can't wait for the extended...get to see the Sauroman scenes that they cut out).As a film though, this is amazing. A true lasting legacy in story telling and now cinema. Bravo Mr. Jackson."
"10","/10","https://www.imdb.com/title/tt0167260/review/rw3379367/?ref_=tturv_6","15 years on... Still the greatest","","Helpful","•","594","33","jamiedphilips","https://www.imdb.com/user/ur64467933/?ref_=tturv_usr_6_t","Dec 23, 2015","https://www.imdb.com/title/tt0167260/review/rw3379367/?ref_=tturv_perm_6","I've just re-watched The Lord of the Rings trilogy for the 1000th time tonight... nearly 15 years since the Fellowship of the Rings was released... I still haven't seen a movie that's better, nor close, to any of these three films. The casting is perfection as well as the incredible acting by everyone in the movie. I can still watch these movies back to back and not get bored. They are a light to this world and wouldn't be the same without them.I miss the good old LOTR's days. The best movies ever created. The Return of the King was the best way to end a thrilling journey through middle earth!"
"","","https://www.imdb.com/title/tt0167260/review/rw0582705/?ref_=tturv_7","My objective and unhyped view? Stunning. Simply stunning.","","Helpful","•","383","123","bob the moo","https://www.imdb.com/user/ur1002035/?ref_=tturv_usr_7_t","Dec 25, 2003","https://www.imdb.com/title/tt0167260/review/rw0582705/?ref_=tturv_perm_7","Frodo and Sam continue their quest to destroy the ring, led by the untrustworthy Gollum.  Meanwhile the rest of the Fellowship prepare for another battle to hold a human city against an onslaught of orcs.If you check my other reviews you will note that I wasn't a massive fan of the first two films - I loved them, but was not blind to their faults. However, let me just lay my cards out here, I was totally blown away by this film.  For the vast majority (and more of that later) the narrative flowed really well where the other two films had struggled to really keep consistent.  Here the various strands work well together and, while characters have only brief times to tell stories, on the whole it manages it well.  I got the feeling that the film really let rip - it knew this was the ending and it did feel that everything came together in a collection of noise and energy which really made it feel like the final part of a trilogy rather than just a stand alone film.The one area where the film really stutters (and actually caused people to leave the cinema in annoying numbers) is ironically the place where Jackson is true to the book, and that's the final 20 minutes.  There is a clear scene where the film ends, however it then runs for another 20 minutes - which is a mix of scenes that all fade out like they were the end.  To Joe Public (ie me!) I would have been happy not to have all the loose ends tied up in the way the book does it - the film should have ended on a high (with the King being crowned etc) but instead it seems to crawl to an end in a way that is not in line with the momentum of the film (if not the whole trilogy!)  This problem is minor on the grand scheme of things, but I would rather have left the cinema on my high than be made to wonder `when's this ending? Is this the end now? Oh, maybe this is it now?' - but I do understand why it was done this way.The cast, as they have been all the way, are excellent.  Wood's Frodo changes well during this film while Astin is touching in his portrayal of unerring friendship.  Bloom and Rhys-Davis had less to do but came into their own during the battle scenes - adding both action and the odd comic touch (`that still counts as one' being accepted by the audience as a chance to break the tension).  Mortensen is the title character and serves it well, with McKellen also continuing his strong role.  I could list through the whole cast but I will stick with noting two things.  Firstly, both Monaghan and Boyd had bigger and more meaningful roles and rose to them well. Secondly I continue with my belief from the second film that Serkis is the stand out actor of the trilogy.  His Gollum is so much more than an effect - he is tragic, fearsome, hateful and funny.  Praise of course goes to the special effects for making this character tell so much with an expression but to pretend that the work of the actor is secondary to the character (as opposed the look) is foolish.  He deserved one for Two Towers so I hope an Oscar goes his way.  It was a shame to not have screen time for Lee but the film works well without him and it was a brave move by the editors.The special effects do not stand out - and that's a compliment.  Even in state of the art movies of late I have been aware that I could be watching a video game.  Here I only occasionally noticed that things were clear computer effects, even though the majority of the film was!  This is how they SHOULD be used - not as a draw in their own right but as part of the film.  Whether it be the massive battle scenes that are spectacular or the animated spider or just the fact that I forget that Gollum is only an effect, I cannot fault it's use of effects or the sheer visual feast that is this film.I have tried not to gush because there will be plenty of others to do that without me joining them, but it is hard to really fault this film.  It is the strongest of the trilogy and brings it all together really well, it is an emotional event more than a film and, if Jackson needs 20 minutes of slow closure to finish it to his satisfaction then I can give him that in return for all the hours of wonderful cinema that he has given me."
"9","/10","https://www.imdb.com/title/tt0167260/review/rw6131865/?ref_=tturv_8","The best trilogy in the history of cinema","","Helpful","•","468","35","auuwws","https://www.imdb.com/user/ur118977607/?ref_=tturv_usr_8_t","Sep 28, 2020","https://www.imdb.com/title/tt0167260/review/rw6131865/?ref_=tturv_perm_8","Best movie in the trilogy and sealed in the best possible way"
"10","/10","https://www.imdb.com/title/tt0167260/review/rw6229232/?ref_=tturv_9","Nothing better","","Helpful","•","431","26","diffguy","https://www.imdb.com/user/ur59961846/?ref_=tturv_usr_9_t","Nov 2, 2020","https://www.imdb.com/title/tt0167260/review/rw6229232/?ref_=tturv_perm_9","The greatest tragedy of the human race is that they will never make a better movie than Return of the King."
"10","/10","https://www.imdb.com/title/tt0167260/review/rw0583844/?ref_=tturv_10","Five out of five decapitated orcs","","Helpful","•","344","110","eviltimmy","https://www.imdb.com/user/ur2362433/?ref_=tturv_usr_10_t","Dec 20, 2003","https://www.imdb.com/title/tt0167260/review/rw0583844/?ref_=tturv_perm_10","This is the final movie in the Lord of the Rings trilogy, and certainly doesn't disappoint like some other trilogies *coughMatrixcough*. The three films had their principal shooting all done at the same time, which lowers their overall costs and keeps a good sense of continuity for the films.The special effects, first of all, are excellent. While there's a few little things (a reversed shot with smoke flowing back into chimneys and occasional lighting that's a bit off), by and large they're excellent. The most impressive thing about them is the sheer scale. This isn't a small or simple scene; it often includes thousands of digital characters combined with filmed actors and action, sweeping landscapes, and dozens of things happening at once. This is a good reason to see it in theatres; even on DVD, there's little details that you can only catch when it's on a massive screen.The filming is good, although there are a few evidences of digital smoothing and cutting that can nag at the mind and eyes of a picky movie-goer. There are a few interesting shots, but most are fairly plain and straight on, getting the point across without being dazzling. New Zealand's landscapes provide a great backdrop for everything going on, and there really are some beautiful places, especially up in the mountains. I hear land prices are quite good, what with the orcs warring and everything, so you may want to look into real estate purchases now.Sound has been said to make 75% of the emotional impact of any production. This is a loud 75%. All the sound effects are very well pulled off, sound appropriate, and are generally loud. The Nazgul screeching was bordering on painful, but in a good way. Most everything has a distinct sound, and it's rare that anything feels out of place. In some of the battles, the roof of the theatre was shaking. The soundtrack fits the movie well, and Howard Shore has done an excellent job, as with the last two films in the series.Performances all around were good, but Sean Astin as Sam and Viggo Mortensen as Aragorn really dominated the film. They performed their roles perfectly, and came away giving a good picture of the characters. Elijah Wood seemed to be stuck with the same terrified expression on his face through most of the movie, almost Max Payne-style, and it grew old quickly. Ian McKellen, the ever-wise white wizard, had a fair bit of dialogue which he delivered well; my only complaint is he had too much in the way of wistful sayings leading to scene changes. Orlando Bloom, favorite of young teenage girls everywhere, had a few more action sequences (which got cheers from the aforementioned girls) which were quite well pulled off, but his acting wasn't much tested by this film. John Rhys-Davies continued with Gimli's joking performance; he's really too amusing to take seriously, but does a good job at it.For the old Tolkien fans, this movie stays quite close to the book, although they did have to omit some portions, most notably the taking and retaking of the Shire and the time spent in the Halls of Healing in Minas Tirith. Hopefully some of this will show up in the Extended Edition on DVD. Shelob's attack was left until this film, and much of the time spent in Mordor was shortened for the sake of pacing, and it was a good decision.My favorite scene would have to be the battle at Minas Tirith. The incredible scope of the battle, with the special effects, sounds, and many close-ups of pieces of the action, make for an exciting scene. The visual effects especially are stunning; the 'oliphaunts' play a big part in the action, and they're entirely created by computer. There's also some wide shots with tens of thousands of digital characters marching on the field of battle, and even the individual actions have the masses warring as a backdrop. It's worth your movie-going dollar simply to watch this on a large screen. It was also intermingled with some smaller events inside Minas Tirith, so it's not pure battle for the whole of the scene, and it keeps it from being dreary or heavy-handed.Overall, this is a movie well worth watching, and even paying to see in a theatre. I'd recommend against bringing small children, as there are some scary images, and they'd also be a distraction during the final movie in what will probably remain the series of the decade. Not a particularly great date movie, either...this is a real, bring-your-friends big movie. Five out of five decapitated orcs (and trust me, there were a lot more than that)."
