star_rating,maxRating,ipc-title-link-wrapper href,Reviews,main_review,helpful,not_helpful,reviewer,ipc-link href,review_date,ipc-link href 2,ipc-btn__text
10,/10,https://www.imdb.com/title/tt0816692/review/rw3117999/?ref_=tturv_1,"Nolan's masterpiece, one of the best sci-fi movie","I have been a cinema lover for years, read a lot of reviews on IMDb and everywhere, and never found the right movie to write my first review. I always thought I would wait for THE movie.And this is IT!When I first heard that Nolan was preparing a sci-fi movie, I felt like a kid again, waiting for his Christmas gift under the tree. I knew it would become a classic. And I'm sure it will.First of all, it is incredibly beautiful to watch. Honestly, it was so beautiful that I felt like I was sucked into the movie. The way Nolan decided to show some scenes really remind me of 2001 A Space Odyssey (actually many things will probably remind you of this movie). We can feel the talent of Christopher Nolan, just by looking at the way it is filmed. The techniques he used contribute to create that visual environment in a believable way.The sound environment is just mesmerizing. It is a very important part of the movie, because some scenes take place in space, and Noland just found the right way to use sound. The soundtrack (made by the great Hans Zimmer) is breathtaking, epic, amazing, unreal. I could find a lot more adjectives to qualify it, but you have to hear it to understand how epic they are. These two important parts (image and sound) create a stunning atmosphere. You will forget you are in a movie theater, and you will be lost in space, sucked into the adventures of this new Space Odyssey, begging for more. It is a truly unique experience. I can say that I have never felt something like that in a movie theater (at least not for the past ten years).Then, of course, the cast. First of all, Matthew McConaughey. I discovered this actor in Tropic Thunder, but he didn't really convince me, though he was quite funny. Then I saw Dallas Buyers Club. Since that movie, I love him. In this movie... Well, he is the movie. I exaggerate a bit, since there are other great actors (some even unexpected with a special guest) who play extremely well. But he is just what was needed to feel the human part of the story (which is very important in Interstellar). He is capable of making us feel so many different emotions all along the story, as a father, as a human. Anne Hathaway was very convincing, all together the actors managed to create some harmony, which makes the human interactions credible. Caine, Chastaing and Affleck are a perfect choice. And then there is... The special guest, I will call him ""X"". His role, which could be seen as a minor role, is actually much more important than that. He proves, once again, that he is a great actor. Watch and see.And finally, the scenario/story. I won't spoil anything here; I'll just try to convince you how great it is. Nolan is known to revolutionize everything when he tries a new genre in cinema. Well, once again he did it. With The Dark Knight he revolutionized the superhero genre. With Interstellar he's revolutionizing the sci-fi genre in cinema. From what I heard, he worked with a physicist (in gravitational physics and astrophysics) to help him with that movie. And we can feel and see it. During the fifties, Asimov laid the foundations of modern science fiction. Lucas and Kubrick did the same in cinema. Today, Nolan is laying the new foundations of the genre in cinema, proving that cinema is still at the beginning of what can be done (brace yourselves my friends, we have not seen anything yet). Why? Well, simply because we only know a few things about space, some things can't be proved for the moment, so we can use theory, and make the best of it. That is exactly what Nolan did. He used theories that exist today, and made a movie about mankind, about pioneers, about humanity, about us.Because, in spite of all the sci-fi aspect, it is a story about humanity. McConaughey, Hathaway, and mainly ""X"", will managed to convince you about that.My rating for this movie can only be a 10, because in itself, it is a beginning for a new kind of cinema. It IS a classic. Those who say ""we can't compare this movie to 2001 Space Odyssey, nor can we compare Nolan to Kubrick"" are wrong. We can, and we should. Talented people don't live only in the past, some genius live today, among us. And Nolan is one of them. Many say that he is overrated. I truly don't think so. Only time will answer that.This is the sci-fi movie of the decade, and probably the best movie Nolan ever made. Just go for it, without a second thought.",2.9K,930,pipoulefr,https://www.imdb.com/user/ur50146734/?ref_=tturv_usr_1_t,"Nov 5, 2014",https://www.imdb.com/title/tt0816692/review/rw3117999/?ref_=tturv_perm_1,
10,/10,https://www.imdb.com/title/tt0816692/review/rw4961107/?ref_=tturv_2,I waited 5 years to watch it again,"After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again
This without doubt is THE BEST MOVIE EVER MADE",2.9K,237,Ksa-2010,https://www.imdb.com/user/ur42512491/?ref_=tturv_usr_2_t,"Jun 26, 2019",https://www.imdb.com/title/tt0816692/review/rw4961107/?ref_=tturv_perm_2,
10,/10,https://www.imdb.com/title/tt0816692/review/rw3115164/?ref_=tturv_3,Interstellar : An open-hearted & mastered Human Odyssey,"The film begins by establishing at his own rhythm its ambitions: men overexploited land resources, which is why the only goal they have left is to survive. This life is not enough for Cooper, brilliantly played by McConaughey who gave body and soul to this character. But all of this wouldn't hold without the total control of Christopher Nolan, based on the languishing soundtrack by Hans Zimmer, the luminous and impenetrable photography of Hoyte Van Hoytema, and the sincerity of Nolan's directing. He manages to film the characters and to find the right cut at the right time, always in harmony with Hans Zimmer's soundtrack, to give the film an aspiring and inspiring dimension that went missing for many many years. Thus we are transported into the same cockpit that Cooper, we feel the same remorse that he can already feel, we feel the same gravity, and we feel the same fear of the unknown melted with the force of his will. All of this is brilliantly illustrated in a very simple directing choice, which from my point of view is the decisive impetus of the film: to directly jump from when Cooper leaves in his truck, leaving his family behind him, to Endurance taking off. This simple editing decision allows Nolan to give an original movement to his film, and the musical crescendo makes us physically feel the sentimental break between two parts of the film.You don't necessarily have to understand it immediately : The film will raise questions in you, such as : what is it to be a human being, is there some physical limitations to our humanity, how far could we be willing to go to determine knowledge, is there other dimensions that we can not access to, and above all: what is the nature of this intact and immutable bond that unites us to others wherever we are in the universe ? Is this bond only intelligible, or is it also tangible ? All these questions resonate in harmony in Nolan's Interstellar. Interstellar is itself a crescendo, increasing sensitivity and creativity. I use the term deliberately because it goes crescendo with the soundtrack by Hans Zimmer, which is one of the most beautiful music ever scored for a sci-fi movie. We are witnessing a perfect musical arrangement, a total symbiosis, a bit like the music of Gravity which had understood very well how to match the image and the rhythm of a sequence to its own musicality. Zimmer's crescendos are giving a new powerful breath to every new scene, whether it is in visually powerful & intense moments or in more intimate moments; it intrudes into our momentary feelings and sensations, and manages to extend them, sometimes almost to choking, before resting on the balance of the film frame along with our mind spell-bounded. I have seen all the talent of the director that I knew he was outside the norm, but whom I did not know his capacity to reinvent itself. Because this is it: Interstellar is not an action movie, not really a blockbuster, and it goes not entirely but mostly again the expectations of common people. It's much more than that. This is much more than just a sci-fi movie. It is unlike any of his previous films. Some hoped to see Interstellar as Christopher Nolan's best film, and they were disappointed that this was not the case. And indeed, THIS IS NOT THE BEST FILM of Christopher Nolan. Because in a way, IT IS HIS FIRST FILM. I'm not saying that Interstellar is not as good as his other films, it goes beyond all of them. But to me Interstellar is the first film of a new stage in Nolan's filmography ; it is a masterpiece as it the beginning of a work ahead. Interstellar is the proof that Nolan has finally managed, despite all the expectations that were placed on him after the success of The Dark Knight, to move away from his own reputation to create a personal work, original, humble, sincere and deeply, meticulously, measured.Now, in this third act of the film, it all comes to life with unparalleled strength. Nolan poses and answers questions that raise others. But he focuses his attention on the great mystery of love, that emotional bond that can unite men and sometimes separate them. But Nolan is the only one that can successfully speak of love from a being to another in a film that mainly takes place in a another galaxy. From my point of view, only Solaris by Steven Soderbergh (2002), unfortunately neglected by the audience, was able to accomplish that. Interstellar is based on a premise which is the following : from terrestrial dust to the depths of space and time, we can never be separated from who we are as individuals and as a species, as we always leave a part of ourselves ""behind"" us. In other words, I could say that this is a human story, and even if we go as far as we want to, if we travel through the universe believing that we can be detached of the one we are fond of, we will only get closer to them. Because the separation, and thus the distance and time, can only ultimately reinforce the relationship between the people who really love each other. Because it is going to the end of the world, when we reach the end of ourselves, that we reach the singularity of the ""black hole beyond the horizon"" * : it is our humanity. No, I wasn't been able to find any bad flaws in the film. Not one, and I'm still looking. After all, Interstellar is like gravity, ""all it takes is a little push ! ""*you'll have to see the movie to figure that one out.Félix Tardieu, November 1st, 2014",2.1K,839,tardieu-felix,https://www.imdb.com/user/ur44255548/?ref_=tturv_usr_3_t,"Nov 1, 2014",https://www.imdb.com/title/tt0816692/review/rw3115164/?ref_=tturv_perm_3,
1,/10,https://www.imdb.com/title/tt0816692/review/rw3119154/?ref_=tturv_4,Grand ideas don't make great movies,,1K,1.6K,dron_ru,https://www.imdb.com/user/ur20672938/?ref_=tturv_usr_4_t,"Nov 7, 2014",https://www.imdb.com/title/tt0816692/review/rw3119154/?ref_=tturv_perm_4,Spoiler
9,/10,https://www.imdb.com/title/tt0816692/review/rw3116978/?ref_=tturv_5,"An Emotional, Beautiful Journey into the Unknown","(This is both a review of the film, and an assertion of Christopher Nolan's filmmaking style)There have been many reviewers and critics alike that have high praise for the film (the visual effects, the acting, the music), but say how it's not Christopher Nolan's best directed film. This is where i personally would have to disagree. Before i get into it, though, i'll talk about Interstellar a bit.Interstellar is truly a sci-fi epic like no other. To compare said film to '2001: A Space Odyssey' isn't just a disservice, but unnecessary. The films are almost nothing alike, simply sharing small plot elements. Also, Stanley Kubrick's vision of Arthur C. Clarke's sci-fi epic wasn't to ponder the philosophical questions that accompanied the story, but to make art, and art is was, and is. With Interstellar, Mr. Nolan set out to make his most personal and emotional film to date about love and time (time being a recurring theme throughout all of Nolan's films). But it's so much more than that too. There are no words to express the epic journey Nolan takes us on in the film, but needless to say, it's tear-jerking and emotional throughout. The acting is top-notch, especially McConaughey, who gives (I would say) his most emotional performance yet. But the actor who stole the show in a few scenes (one in particular, when they're on an alien planet) was David Gyasi as Romilly, one of the astronauts aboard the Endurance, their spacecraft. The musical score from Hans Zimmer is, without a doubt, his best and most influential work to date, helping drive the film's bold and breath-taking vision (the church organ helped significantly). The visual effects are easily the best to date as well, and of the year. To see a black hole created through visual effects in such a way, with pages theoretical equations provided by Kip Thorne (theoretical physicist, of whom's work inspired the film's genesis); what you see in the film is the most realistic depiction of a black hole, and even offered new insight to accretion discs surrounding the anomalies. But even everything else, from the alien planets to the Endurance, the visuals always look real. Then, there's the writing. I would definitely have to say this has some of the best dialogue i've ever heard in a sci-fi movie, and the script continually pours or oozes emotion, keeping the audience tethered to the film.Now, about Mr. Nolan. Don't just look at Nolan, but look at his films. Some say Inception would be his masterpiece, while others would say it's The Dark Knight, or Memento. But honestly, every single film Christopher Nolan has directed is a masterpiece not of its genre, but of Nolan. Following is his quiet masterpiece, not the film that put Mr. Nolan on the map as a phenomenal director, but one people visited or revisited after becoming accustomed to Nolan, after seeing Memento, what could be called his breakout masterpiece. Then, right after, he directed the remake of the Norwegian thriller, Insomnia. This, too, could be considered a masterpiece, even if a remake. Then, we were given his take on the Batman universe, starting with Batman Begins, the origin masterpiece. Then, there's The Prestige, adapted from the novel of the same name, which can be called his dark masterpiece. The Dark Knight, his bold masterpiece; Inception, his complex masterpiece, and The Dark Knight Rises, his flawed masterpiece. Now, we have Interstellar, his emotional or personal masterpiece.This is just my looking at Nolan and his films, but whatever your thoughts are, you can't deny Interstellar is one hell of a journey. He certainly is one of the best filmmakers of our time, and of all time. I can't wait to see what he does next, but i'm not sure it will be as emotionally powerful as Interstellar.",1.5K,743,slayerjmk95,https://www.imdb.com/user/ur22966909/?ref_=tturv_usr_5_t,"Nov 3, 2014",https://www.imdb.com/title/tt0816692/review/rw3116978/?ref_=tturv_perm_5,
6,/10,https://www.imdb.com/title/tt0816692/review/rw3114094/?ref_=tturv_6,"Unmatched visuals and writing, yet sentimentalist and most definitely not Nolan's best directorial work","I will keep this short for the sake of not spoiling anything.Right off i should say I love Nolan. I adore most of his movies, and Interstellar is no exception. It is a marvelous piece of work whose visuals will be hard to forget. His shots of space and the way he played with colors is rather masterful. Maybe i expected it to be greater than what i saw, but even though i was moved by the movie i did not quite feel like he created something great with 'Interstellar.' This could be attributed maybe to his overuse of sentimentalism in the father-daughter relationship he creates. Nolan really tries to make you cry with this one. I have never seen him use such powerful emotions in his movies; however that is not necessarily a good thing for this movie, given that he uses his time trying to develop a family relationship at the expense of flow and congruency. Again, the Visuals are completely off the charts. The visual imagery is truly beautiful and something that Nolan has always excelled at. Given that the most visually stunning movie in recent years, Gravity, recently came out, Interstellar does not lag behind and shows you a spectacle of Visual effects.He will most likely win Visual effects at the Oscars. The Hans's score is marvelous and will most likely earn an Oscar nomination. Matthew Mcconaughey's acting is good, but nothing stellar, especially coming off the best acting role of his career. He plays the character like it should be played, but Nolan's characters never being truly drawn out or rounded does not help him any.The same can be said for the rest of the cast. The little girl was marvelous though. I do not want to reveal any piece of the story whatsoever, but i have to say, it is one of the most original scripts i've ever seen. Ultimately this movie is entertaining. There is no way Nolan can miss that. Another great thing that Nolan excels at is INSPIRING. By the time the credits rolled and people walked out, I sat there still in awe at the strong sense of human will the movie conveys. Personally, I don't think this is Nolan's best. I believe Memento stands as his masterpiece. But with Nolan, everyone has their own favorite movie. Maybe for some, Interstellar will be their favorite movie, for it is really Nolan's most ambitious and visually-striking work. By the way, Anyone else who even tries to compare Interstellar to ""2001: A Space Odyssey"" is out of their mind. Kubrick's mission was to create art. Nolan in ""Interstellar"" sets to awe and inspire its audiences. It is truly a great piece of work.",880,1.2K,gonzaloltovilla,https://www.imdb.com/user/ur54142477/?ref_=tturv_usr_6_t,"Oct 29, 2014",https://www.imdb.com/title/tt0816692/review/rw3114094/?ref_=tturv_perm_6,
,,https://www.imdb.com/title/tt0816692/review/rw3119344/?ref_=tturv_7,A Visually Monumental And Thoughtful Sci-Fi Epic,"I was extremely lucky to get the chance to see this film upon its first day release, before entering the cinema, my expectations were already high, after all, this was a film from the cinematic genius who brought us the likes of 'Inception' and 'The Dark Knight', to summarise the following review in a single sentence: I left the cinema in extreme awe from the visual masterpiece I had just viewed. A film that explores the psychological and emotional state of a man whose life revolves around his family, 'Interstellar' is a thrilling and thought-provoking film that boasts an intellectual story masterfully written by the Nolan brothers. Whilst there seems to have been influence from films like '2001: A Space Odyssey' and 'Apollo 13', 'Interstellar' is unique in its own way. Whilst the subject may be hard to comprehend at times, it can't be denied how visually monumental and thoughtful Christopher Nolan's epic science fiction masterpiece is, and can easily be named the best film of this year and possibly one of the greatest science fiction films to have ever graced the screen. A sheer brilliant feat of cinema.",1.4K,613,CalRhys,https://www.imdb.com/user/ur24740649/?ref_=tturv_usr_7_t,"Nov 8, 2014",https://www.imdb.com/title/tt0816692/review/rw3119344/?ref_=tturv_perm_7,
10,/10,https://www.imdb.com/title/tt0816692/review/rw3217100/?ref_=tturv_8,Best movie I have seen in my life,"This movie was the best written, acted, visual effected, etc. movie. This movie was the best movie I have ever seen. I am a huge Christopher Nolan fan and this movie was his finest. Matthew McConaughey turned in his best performance of his lifetime. Anne Hathaway was an amazing supporting actress and compared to her performance in Les Miserables, I have no idea how she didn't get an Oscar for this. The visual effects were more than just Oscar worthy. They were pioneering. I have never seen anything like it. One thing I would recommend is having a little previous knowledge about space. Not like Einstein stuff though. I would recommend you see this movie as fast as you can if you are a Nolan fan or not. I give this movie a rating of 97 out of 100.",1.7K,218,Patterson13,https://www.imdb.com/user/ur59729572/?ref_=tturv_usr_8_t,"Apr 8, 2015",https://www.imdb.com/title/tt0816692/review/rw3217100/?ref_=tturv_perm_8,
10,/10,https://www.imdb.com/title/tt0816692/review/rw3117671/?ref_=tturv_9,The GENIUS shocks the world by another unique innovation..!!,"(((WOW)))...!!!It's almost impossible to put in words, but we have to try and give everyone what he truly deserve.In my modest opinion, Interstellar is the best Sci-Fi in human history. Believe it or not. It's the simple and the complicated, It's the usual and the different, It's the mind and the heart, It's an emotional and psychological journey through the unknown which has its own stunning visuals. It's an original story and thought-provoking masterpiece.Every single time with him, you just got crazy about his ideas, astonished by his mind games and inspired when he talks to the heart.Back then, he was an ambitious young director. And with his capabilities made his own way straight through the world. Now, he is an icon and a legend of directing. He is Christopher Nolan...Really guys, what's wrong with this guy ?!! what's going on inside his head ?!!It's our job to honor the honorable. Please, Just keep the rating UP, why ? Because Chris. and Interstellar deserve it.",1K,874,Midosaad2010,https://www.imdb.com/user/ur36545996/?ref_=tturv_usr_9_t,"Nov 5, 2014",https://www.imdb.com/title/tt0816692/review/rw3117671/?ref_=tturv_perm_9,
1,/10,https://www.imdb.com/title/tt0816692/review/rw3119937/?ref_=tturv_10,"Oh, no!",,643,1K,nick_fadely,https://www.imdb.com/user/ur56359465/?ref_=tturv_usr_10_t,"Nov 8, 2014",https://www.imdb.com/title/tt0816692/review/rw3119937/?ref_=tturv_perm_10,Spoiler
